S-1-92	java.sql.Statement	execute	1
S-1-8	org.springframework.jdbc.object.SqlUpdate	<init>	1
S-3-8	org.apache.hadoop.util.ProgramDriver	driver	0
S-1-65	org.hibernate.criterion.Projections	sqlProjection	0
S-1-34	com.ibatis.dao.client.template.HibernateAo1Temp	createSQLQuery	0
S-1-35	com.ibatis.dao.client.template.HibernateDaoTemplate	createFilter|filter	1
S-1-52	oracle.jbo.server.ViewObjectImpl	addOrderByClause|addWhereClause|buildRangePagingQuery|setFromClause|setQuery|setSelectClause	0
S-1-55	oracle.jbo.server.ViewObjectImpl	buildQuery	2
S-1-92	java.sql.Statement	execute	0
S-1-59	org.hibernate.StatelessSession	createSQLQuery	0
S-1-67	org.hibernate.criterion.SQLProjection	<init>	1
S-1-44	org.apache.torque.util.BasePeer	execute(Query|Statement)	0
S-1-88	java.sql.Connection	prepareCall	3
S-1-64	org.hibernate.criterion.Projections	sqlGroupProjection	1
S-1-96	java.sql.prepareStatement	addBatch	0
S-1-31	com.ibatis.dao.client.template.HibernateDaoTemplate	createQuery	0
S-1-49	oracle.jbo.ApplicationModule	executeQueryOnViewObjects	0
S-1-69	org.hibernate.loader.AbstractEntityJoinWalker	initAll	1
S-1-2	org.springframework.jdbc.core.JdbcTemplate	execute	0
S-3-16	java.lang.Runtime	exec	1
S-1-64	org.hibernate.criterion.Projections	sqlGroupProjection	0
S-1-90	java.sql.Statement	executeQuery	0
S-1-69	org.hibernate.loader.AbstractEntityJoinWalker	initAll	0
S-3-16	java.lang.Runtime	exec	0
S-1-17	org.springframework.orm.hibernate.LocalSessionFactoryBean	executeSchemaScript|executeSchemaStatement	1
S-1-88	java.sql.Connection	prepareCall	2
S-1-66	org.hibernate.criterion.SQLProjection	<init>	0
S-1-75	net.sf.hibernate.engine.SessionImplementor	(find)|(iterate)|(scroll)	0
S-1-74	org.hibernate.engine.SessionImplementor	(iterate)|(scroll)	0
S-3-22	java.awt.Desktop	browse|mail|open	0
S-1-116	org.mybatis.spring.SqlSessionTemplate	delete|insert|select|selectList|selectMap|selectOne|update	0
S-1-111	software.amazon.awssdk.services.rdsdata.model.ExecuteSqlRequest.Builder	sqlStatements|setSqlStatements	0
